,graph_type,execu_time,synergy,asc_ratio,rsr_ratio,gini_in,gini_out,nodes,edges,volume
0,G,,,0.5797611545256514,0.4202388454743475,0.8952335295766751,0.8918253994953742,100,664,178350.0
1,tg_dynet,0.12450671195983887,0.02247266610597143,0.6037122649639571,0.39628773503604126,0.9012056761996536,0.8993497837583599,100,664,178350.0
2,tg_statnet,0.010897159576416016,0.0075862068965517615,0.5881149423063753,0.4118850576936241,0.8978622801516409,0.8953798651954552,100,664,178350.0
3,G,,,0.46005816745383316,0.5399418325461639,0.8720939806215173,0.8729086968890676,200,1414,239028.0
4,tg_dynet,0.46249866485595703,0.0400664357313788,0.45629149675423947,0.5437085032457637,0.8789611071644927,0.8723317178831211,200,1414,239028.0
5,tg_statnet,0.024572134017944336,0.007702026540823637,0.4635457535441144,0.5364542464558878,0.875491384435066,0.8736504319376694,200,1414,239028.0
6,G,,,0.48920014888424956,0.5107998511157519,0.8773984293350936,0.8851258584727835,300,3341,677123.0
7,tg_dynet,2.154613971710205,0.09556904727796867,0.4810504016903413,0.5189495983096656,0.8778016887351794,0.8822669362024305,300,3341,677123.0
8,tg_statnet,0.08775019645690918,0.011445483316915861,0.49766352259133473,0.5023364774086692,0.8808677921975738,0.8874512466641666,300,3341,677123.0
9,G,,,0.461151700338692,0.5388482996612984,0.8704102233795088,0.8655121107218866,400,4439,727372.0
10,tg_dynet,3.4381980895996094,0.028211149178137163,0.47505038158367024,0.5249496184163223,0.8729059265588837,0.8706678555058203,400,4439,727372.0
11,tg_statnet,0.11796689033508301,0.013974967416947592,0.4681087722844326,0.5318912277155671,0.8717760458277737,0.8688517506103539,400,4439,727372.0
12,G,,,0.5113558418575412,0.48864415814246087,0.8770944181221383,0.8977424887886287,500,5518,1104682.0
13,tg_dynet,5.316622972488403,0.016421920516492494,0.522980460536143,0.47701953946386005,0.8800316251296545,0.9010260616028296,500,5518,1104682.0
14,tg_statnet,0.18494606018066406,0.00669604465357454,0.5154952952836647,0.4845047047163657,0.8782307039647859,0.8995046154827597,500,5518,1104682.0
15,G,,,0.4874185494885065,0.5125814505115451,0.8770595584612564,0.8656273615125787,600,8036,1585848.0
16,tg_dynet,10.31311821937561,0.018577442478724282,0.4987623432794224,0.5012376567205774,0.8796097832137293,0.8682600139511145,600,8036,1585848.0
17,tg_statnet,0.26647305488586426,0.008375960369467972,0.4918989088809962,0.508101091118985,0.8789095660062807,0.8672757533074944,600,8036,1585848.0
18,G,,,0.45937310663817377,0.5406268933618161,0.8795288800616075,0.8828389769364309,700,9508,1652309.0
19,tg_dynet,14.538254022598267,0.015010509535444028,0.4677745291591532,0.5322254708408571,0.8823382642462192,0.8857708130112059,700,9508,1652309.0
20,tg_statnet,0.3709707260131836,0.006388030326046734,0.4620059562350485,0.5379940437648932,0.8809584122486422,0.8845093775141883,700,9508,1652309.0
21,G,,,0.4598342371400018,0.5401657628599841,0.8790661522980192,0.886970459682827,800,11912,2025266.0
22,tg_dynet,22.15974712371826,0.012186547347360799,0.46272019709594303,0.5372798029040674,0.8795937232109607,0.8881627205292453,800,11912,2025266.0
23,tg_statnet,0.4992678165435791,0.0034908994670329596,0.46108261651659005,0.5389173834834331,0.8797867600570015,0.8880753294030908,800,11912,2025266.0
24,G,,,0.48873105261013916,0.5112689473898762,0.8914725485808124,0.883677137207082,900,14845,3197999.0
25,tg_dynet,34.30670499801636,0.01625172490673077,0.49935847253906324,0.5006415274609068,0.8948435426506682,0.8859039428719846,900,14845,3197999.0
26,tg_statnet,0.7453262805938721,0.00593808816075303,0.49144346891010343,0.508556531089901,0.8930237291628373,0.8849123180630609,900,14845,3197999.0
27,G,,,0.4761214639574553,0.5238785360425082,0.8867675399578581,0.891416572550116,1000,16144,3019306.0
28,tg_dynet,40.43450379371643,0.01889010255999224,0.48557997225779354,0.5144200277421335,0.8905612184030429,0.8944594039505502,1000,16144,3019306.0
29,tg_statnet,0.7825319766998291,0.006035492924532981,0.4784018783950962,0.5215981216048784,0.8884886672577867,0.8928443941737034,1000,16144,3019306.0
